BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
5,TODT HILL,01 ONE FAMILY DWELLINGS                    ,10304,1,0,5228,1975,1,A3,1735000
5,GRYMES HILL,01 ONE FAMILY DWELLINGS                    ,10301,1,0,5232,1991,1,A3,1950000
1,SOHO,14 RENTALS - 4-10 UNIT                     ,10012,5,1,5240,1920,2,S5,9850000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5250,1931,2,C2,1900000
1,CHELSEA,26 OTHER HOTELS                            ,10001,0,1,5260,1900,4,H8,4300000
1,HARLEM-UPPER,03 THREE FAMILY DWELLINGS                  ,10031,3,0,5272,1920,1,C0,2650000
4,SUNNYSIDE,07 RENTALS - WALKUP APARTMENTS             ,11104,6,0,5280,1931,2,C2,286536
4,SUNNYSIDE,07 RENTALS - WALKUP APARTMENTS             ,11104,6,0,5280,1931,2,C2,286536
4,SUNNYSIDE,07 RENTALS - WALKUP APARTMENTS             ,11104,6,0,5280,1931,2,C2,238780
4,SUNNYSIDE,07 RENTALS - WALKUP APARTMENTS             ,11104,6,0,5280,1931,2,C2,238780
5,PRINCES BAY,02 TWO FAMILY DWELLINGS                    ,10309,2,0,5280,1996,1,B2,975000
1,SOHO,07 RENTALS - WALKUP APARTMENTS             ,10014,4,0,5298,1920,2,C3,10250000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5300,1930,2,C2,1750000
5,TOTTENVILLE,22 STORE BUILDINGS                         ,10307,1,1,5303,1935,4,K4,153696
1,MIDTOWN EAST,07 RENTALS - WALKUP APARTMENTS             ,10022,7,0,5312,1920,2,C5,5500000
5,TODT HILL,01 ONE FAMILY DWELLINGS                    ,10304,1,0,5330,1994,1,A3,1675000
1,UPPER EAST SIDE (59-79),14 RENTALS - 4-10 UNIT                     ,10065,6,2,5332,1910,2,S9,5500000
1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,10002,0,10,5338,1900,4,K2,6000000
4,SUNNYSIDE,07 RENTALS - WALKUP APARTMENTS             ,11377,6,0,5346,1929,2,C2,1200000
5,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,10309,1,0,5351,1899,1,A1,775000
1,UPPER EAST SIDE (59-79),14 RENTALS - 4-10 UNIT                     ,10022,6,2,5360,1910,2,S9,5950000
1,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,10028,1,0,5365,1910,1,A7,8950000
5,STAPLETON,01 ONE FAMILY DWELLINGS                    ,10304,1,0,5376,1950,1,A1,985000
1,UPPER WEST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,10024,1,0,5377,1899,1,A9,12235640
1,SOHO,22 STORE BUILDINGS                         ,10012,0,2,5380,1910,4,K2,23565000
1,GREENWICH VILLAGE-WEST,22 STORE BUILDINGS                         ,10014,0,1,5400,1967,4,K2,10200000
5,ANNADALE,01 ONE FAMILY DWELLINGS                    ,10312,1,0,5400,1985,1,A1,1125000
1,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10128,8,0,5404,1910,2,C1,5075000
5,ANNADALE,02 TWO FAMILY DWELLINGS                    ,10312,2,0,5413,1985,1,B2,1199958
5,HUGUENOT,01 ONE FAMILY DWELLINGS                    ,10312,1,0,5417,2015,1,A3,763687
1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,10075,1,0,5436,1899,1,A4,4250000
1,UPPER EAST SIDE (59-79),21 OFFICE BUILDINGS                        ,10022,4,2,5440,1910,4,O5,5200000
4,ROSEDALE,22 STORE BUILDINGS                         ,11422,2,1,5456,1920,4,K4,875000
1,MIDTOWN CBD,22 STORE BUILDINGS                         ,10022,0,2,5460,1940,4,K2,15250000
1,HARLEM-CENTRAL,14 RENTALS - 4-10 UNIT                     ,10026,2,2,5468,1900,2,S9,3880000
1,MIDTOWN CBD,22 STORE BUILDINGS                         ,10017,0,4,5468,1926,4,K4,7500000
1,UPPER EAST SIDE (59-79),22 STORE BUILDINGS                         ,10075,4,2,5472,1910,4,K4,52500
5,PLEASANT PLAINS,01 ONE FAMILY DWELLINGS                    ,10309,1,0,5500,2010,1,A1,1215000
1,UPPER WEST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10024,4,0,5509,1901,2,C3,11650000
5,NEW BRIGHTON-ST. GEORGE,21 OFFICE BUILDINGS                        ,10301,0,3,5520,1957,4,O5,1960000
5,STAPLETON,02 TWO FAMILY DWELLINGS                    ,10304,2,1,5525,1931,1,S2,750000
4,REGO PARK,38 ASYLUMS AND HOMES                       ,11374,1,1,5544,1931,4,N9,4733286
5,TOTTENVILLE,02 TWO FAMILY DWELLINGS                    ,10307,2,0,5544,1991,1,B2,1380000
1,UPPER WEST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10025,4,0,5560,1900,2,C3,10500000
5,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,10309,1,0,5567,2015,1,A3,375000
5,PRINCES BAY,01 ONE FAMILY DWELLINGS                    ,10309,1,0,5567,2015,1,A3,1513687
4,QUEENS VILLAGE,32 HOSPITAL AND HEALTH FACILITIES          ,11428,0,1,5600,1924,4,I5,1025000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1600000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,111200
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1500000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1700000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1615000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,7,0,5600,1930,2,C1,900000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,8,0,5600,1930,2,C1,900000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1512500
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1420000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1300000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1500000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5600,1930,2,C2,1512500
4,RIDGEWOOD,38 ASYLUMS AND HOMES                       ,11385,0,0,5600,1931,4,N9,2550000
4,RIDGEWOOD,38 ASYLUMS AND HOMES                       ,11385,0,0,5600,1931,4,N9,1450000
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,10009,4,1,5608,1900,2,S4,7215000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5610,1930,2,C2,1500000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5610,1930,2,C2,1325000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5625,1906,2,C2,1375000
4,RICHMOND HILL,02 TWO FAMILY DWELLINGS                    ,11418,2,1,5632,1931,1,S2,1100000
4,RICHMOND HILL,14 RENTALS - 4-10 UNIT                     ,11418,3,1,5640,1920,2,S3,870000
1,HARLEM-EAST,14 RENTALS - 4-10 UNIT                     ,10029,6,2,5660,1920,2,S9,2600000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,12,0,5670,1930,2,C1,1900000
1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,10002,3,1,5696,1910,4,K4,8700000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,8,0,5700,1930,2,C1,3700000
4,ROSEDALE,22 STORE BUILDINGS                         ,11422,0,7,5700,1931,4,K1,1450000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5712,1930,2,C2,1500000
1,MURRAY HILL,07 RENTALS - WALKUP APARTMENTS             ,10016,8,1,5719,1925,2,C5,4584000
1,KIPS BAY,07 RENTALS - WALKUP APARTMENTS             ,10003,10,0,5720,1910,2,C4,6650000
1,GREENWICH VILLAGE-WEST,03 THREE FAMILY DWELLINGS                  ,10014,3,0,5750,1910,1,C0,27400000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5772,1930,2,C2,1100000
1,UPPER WEST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10024,5,0,5782,1900,2,C2,5950000
1,EAST VILLAGE,22 STORE BUILDINGS                         ,10003,2,1,5794,1900,4,K4,4550000
1,UPPER EAST SIDE (59-79),21 OFFICE BUILDINGS                        ,10021,1,2,5795,1920,4,O8,19250000
4,WHITESTONE,27 FACTORIES                               ,11357,0,4,5800,1940,4,F5,1300000
1,CHELSEA,38 ASYLUMS AND HOMES                       ,10011,35,0,5802,1920,4,N2,7995000
1,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS                    ,10012,1,1,5807,1900,1,S1,9999999
1,HARLEM-UPPER,01 ONE FAMILY DWELLINGS                    ,10031,1,0,5810,1899,1,A4,4650000
1,UPPER WEST SIDE (96-116),07 RENTALS - WALKUP APARTMENTS             ,10025,10,0,5810,1900,2,C4,4550000
1,MIDTOWN EAST,07 RENTALS - WALKUP APARTMENTS             ,10022,9,0,5812,1920,2,C5,7100000
1,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10028,4,0,5815,1925,2,C3,6175000
5,HUGUENOT,01 ONE FAMILY DWELLINGS                    ,10312,1,0,5840,1987,1,A3,990000
1,MURRAY HILL,07 RENTALS - WALKUP APARTMENTS             ,10016,9,1,5844,1910,2,C7,7037500
1,UPPER EAST SIDE (79-96),07 RENTALS - WALKUP APARTMENTS             ,10028,10,0,5846,1920,2,C4,4850000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5850,1931,2,C2,1800000
1,MURRAY HILL,14 RENTALS - 4-10 UNIT                     ,10016,6,1,5875,1920,2,S5,7150000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5880,1930,2,C2,1650000
1,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS                    ,10028,1,0,5900,1925,1,A7,18500000
1,EAST VILLAGE,02 TWO FAMILY DWELLINGS                    ,10003,2,1,5920,1899,1,S2,6800000
4,QUEENS VILLAGE,14 RENTALS - 4-10 UNIT                     ,11427,6,3,5928,1978,2,S9,1380000
1,LOWER EAST SIDE,22 STORE BUILDINGS                         ,10002,0,1,5930,1920,4,K1,9000000
4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,11385,6,0,5940,1930,2,C2,1465000
4,ROCKAWAY PARK,07 RENTALS - WALKUP APARTMENTS             ,11694,9,0,5950,1930,2,C1,600000
4,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS                    ,11433,2,0,5950,2007,1,B3,45000
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,10011,8,1,5955,1920,2,C7,5750000
1,GREENWICH VILLAGE-WEST,14 RENTALS - 4-10 UNIT                     ,10014,5,1,5985,1900,2,S5,14000000
1,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS                    ,10021,1,1,5994,1901,1,S1,9350000
1,MURRAY HILL,14 RENTALS - 4-10 UNIT                     ,10016,6,2,5997,1920,2,S9,12000000
5,WILLOWBROOK,22 STORE BUILDINGS                         ,10314,0,1,6000,1983,4,K1,2900000
1,UPPER EAST SIDE (59-79),07 RENTALS - WALKUP APARTMENTS             ,10075,16,0,6004,1910,2,C1,11200000
1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,10029,8,0,6040,1910,2,C4,2250000
1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,10029,10,0,6040,1910,2,C4,2450000
1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,10029,8,0,6040,1910,2,C4,1675000
1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,10029,9,0,6040,1900,2,C4,2225000
